Owner,Name,AttrType,Visibility,RedefinesProperty,Multiplicity
Observations::EventTypes::ActuatorState,result,Observations::EventTypes::ActuatorStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::Availability,result,Observations::EventTypes::AvailabilityEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::AxisCoupling,result,Observations::EventTypes::AxisCouplingEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::AxisInterlock,result,Observations::EventTypes::ActuatorStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::AxisState,result,Observations::EventTypes::AxisStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::ChuckInterlock,result,Observations::EventTypes::ActuatorStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::ChuckState,result,Observations::EventTypes::ChuckStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::ControllerMode,result,Observations::EventTypes::ControllerModeEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::ControllerModeOverride,result,Observations::EventTypes::ControllerModeOverrideEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::DoorState,result,Observations::EventTypes::ChuckStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::EmergencyStop,result,Observations::EventTypes::EmergencyStopEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::EndOfBar,result,Observations::EventTypes::EndOfBarEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::EquipmentMode,result,Observations::EventTypes::ControllerModeOverrideEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::Execution,result,Observations::EventTypes::ExecutionEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::FunctionalMode,result,Observations::EventTypes::FunctionalModeEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::InterfaceState,result,Observations::EventTypes::InterfaceStateEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::PathMode,result,Observations::EventTypes::PathModeEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::PowerState,result,Observations::EventTypes::ControllerModeOverrideEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::ProgramEdit,result,Observations::EventTypes::ProgramEditEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::RotaryMode,result,Observations::EventTypes::RotaryModeEnum,public,Observations::Observation::result,0..1
Observations::EventTypes::SpindleInterlock,result,Observations::EventTypes::ActuatorStateEnum,public,Observations::Observation::result,0..1
