Owner,Name,ownedComment
Components::Compositions::CompositionTypes,Actuator,"A mechanism for moving or controlling a mechanical part of a piece of equipment.   
 It takes energy usually provided by air, electric current, or liquid and converts the energy into some kind of motion. "
Components::Compositions::CompositionTypes,Amplifier,"An electronic component or circuit for amplifying power, electric current, or voltage."
Components::Compositions::CompositionTypes,Ballscrew,A mechanical structure for transforming rotary motion into linear motion.
Components::Compositions::CompositionTypes,Belt,An endless flexible band used to transmit motion for a piece of equipment or to convey materials and objects.
Components::Compositions::CompositionTypes,Brake,"A mechanism for slowing or stopping a moving object by the absorption or transfer of the energy of momentum, usually by means of friction, electrical force, or magnetic force."
Components::Compositions::CompositionTypes,Chain,An interconnected series of objects that band together and are used to transmit motion for a piece of equipment or to convey materials and objects.
Components::Compositions::CompositionTypes,Chopper,A mechanism used to break material into smaller pieces.
Components::Compositions::CompositionTypes,Chuck,"A mechanism that holds a part, stock material, or any other item in place."
Components::Compositions::CompositionTypes,Chute,An inclined channel for conveying material.
Components::Compositions::CompositionTypes,CircuitBreaker,A mechanism for interrupting an electric circuit.
Components::Compositions::CompositionTypes,Clamp,"A mechanism used to strengthen, support, or fasten objects in place."
Components::Compositions::CompositionTypes,Compressor,A pump or other mechanism for reducing volume and increasing pressure of gases in order to condense the gases to drive pneumatically powered pieces of equipment.
Components::Compositions::CompositionTypes,Door,A mechanical mechanism or closure that can cover a physical access portal into a piece of equipment allowing or restricting access to other parts of the equipment.
Components::Compositions::CompositionTypes,Drain,"A mechanism that allows material to flow for the purpose of drainage from, for example, a vessel or tank."
Components::Compositions::CompositionTypes,Encoder,A mechanism used to measure rotary position.
Components::Compositions::CompositionTypes,ExposureUnit,A mechanism for emitting a type of radiation
Components::Compositions::CompositionTypes,ExtrusionUnit,A mechanism for dispensing liquid or powered materials
Components::Compositions::CompositionTypes,Fan,Any mechanism for producing a current of air.
Components::Compositions::CompositionTypes,Filter,Any substance or structure through which liquids or gases are passed to remove suspended impurities or to recover solids.
Components::Compositions::CompositionTypes,Galvanomotor,An electromechanical actuator that produces deflection of a beam of light or energy in response to electric current through its coil in a magnetic field.
Components::Compositions::CompositionTypes,Gripper,"A mechanism that holds a part, stock material, or any other item in place."
Components::Compositions::CompositionTypes,Hopper,"A chamber or bin in which materials are stored temporarily, typically being filled through the top and dispensed through the bottom."
Components::Compositions::CompositionTypes,LinearPositionFeedback,A mechanism that measures linear motion or position.
Components::Compositions::CompositionTypes,Motor,"A mechanism that converts electrical, pneumatic, or hydraulic energy into mechanical energy."
Components::Compositions::CompositionTypes,Oil,A viscous liquid.
Components::Compositions::CompositionTypes,PowerSupply,A unit that provides power to electric mechanisms.
Components::Compositions::CompositionTypes,Pulley,A mechanism or wheel that turns in a frame or block and serves to change the direction of or to transmit force.
Components::Compositions::CompositionTypes,Pump,"An apparatus raising, driving, exhausting, or compressing fluids or gases by means of a piston, plunger, or set of rotating vanes."
Components::Compositions::CompositionTypes,Reel,A rotary storage unit for material
Components::Compositions::CompositionTypes,SensingElement,A mechanism that provides a signal or measured value.
Components::Compositions::CompositionTypes,Spreader,A mechanism for flattening or spreading materials
Components::Compositions::CompositionTypes,StorageBattery,"A component consisting of one or more cells, in which chemical energy is converted into electricity and used as a source of power. "
Components::Compositions::CompositionTypes,Switch,A mechanism for turning on or off an electric current or for making or breaking a circuit.
Components::Compositions::CompositionTypes,Table,A surface for holding an object or material
Components::Compositions::CompositionTypes,Tank,A receptacle or container for holding material.
Components::Compositions::CompositionTypes,Tensioner,A mechanism that provides or applies a stretch or strain to another mechanism.
Components::Compositions::CompositionTypes,Transformer,A mechanism that transforms electric energy from a source to a secondary circuit.
Components::Compositions::CompositionTypes,Valve,"Any mechanism for halting or controlling the flow of a liquid, gas, or other material through a passage, pipe, inlet, or outlet."
Components::Compositions::CompositionTypes,Vat,A container for liquid or powdered materials
Components::Compositions::CompositionTypes,Water,A fluid.
Components::Compositions::CompositionTypes,Wire,A string like piece or filament of relatively rigid or flexible material provided in a variety of diameters.
